"1220","army","Army","Army West Point","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1221","asbury","Asbury University","Asbury University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1222","ashland","Ashland","Ashland University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1223","assumption","Assumption","Assumption College","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1224","aub-montgomery","Auburn-Montgomery","Auburn-Montgomery","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1225","auburn","Auburn","Auburn University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1226","augsburg","Augsburg","Augsburg University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1227","augustana-il","Augustana (IL)","Augustana College (IL)","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1228","augustana-sd","Augustana (SD)","Augustana University (SD)","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1229","aurora","Aurora","Aurora University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1230","austin","Austin","Austin College","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1231","austin-peay","Austin Peay","Austin Peay State University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1232","averett","Averett","Averett University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1233","azusa-pacific","Azusa Pacific","Azusa Pacific University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1234","babson","Babson","Babson College","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1235","bakersfield","CSU Bakersfield","CSU Bakersfield","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1236","baldwin-wallace","Baldwin Wallace","Baldwin Wallace University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1237","ball-st","Ball St.","Ball State University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1238","baptist-bible-pa","Clarks Summit University","Clarks Summit University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1239","bard","Bard","Bard College","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1240","barry","Barry","Barry University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1241","barton","Barton","Barton College","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1242","baruch","Baruch","Baruch College","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1243","bates","Bates","Bates College","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1244","bay-path","Bay Path","Bay Path University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1245","baylor","Baylor","Baylor University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1246","becker","Becker","Becker College","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1247","belhaven","Belhaven","Belhaven University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1248","bellarmine","Bellarmine","Bellarmine University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1249","belmont","Belmont","Belmont University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1250","belmont-abbey","Belmont Abbey","Belmont Abbey College","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1251","beloit","Beloit","Beloit College","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1252","bemidji-st","Bemidji St.","Bemidji State University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1253","benedict","Benedict","Benedict College","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1254","benedictine-il","Benedictine (IL)","Benedictine University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1255","bentley","Bentley","Bentley University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1256","berea","Berea College","Berea College","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1257","berry","Berry","Berry College","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1258","bethany-lutheran","Bethany Lutheran","Bethany Lutheran College","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1259","bethany-wv","Bethany (WV)","Bethany College","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1260","bethel-mn","Bethel (MN)","Bethel University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1261","bethune-cookman","Bethune-Cookman","Bethune-Cookman University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1262","binghamton","Binghamton","Binghamton University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1263","biola","Biola","Biola University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1264","birmingham-so","Birmingham-So.","Birmingham-Southern College","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1265","black-hills-st","Black Hills St.","Black Hills State University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1266","blackburn","Blackburn","Blackburn College","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1267","bloomfield","Bloomfield","Bloomfield College","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1268","bloomsburg","Bloomsburg","Bloomsburg University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1269","bluefield-st","Bluefield St.","Bluefield State College","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1270","bluffton","Bluffton","Bluffton University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1271","boise-st","Boise St.","Boise State University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1272","boston-college","Boston College","Boston College","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1273","boston-u","Boston U.","Boston University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1274","bowdoin","Bowdoin","Bowdoin College","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1275","bowie-st","Bowie St.","Bowie State University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1276","bowling-green","Bowling Green","Bowling Green State University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1277","bradley","Bradley","Bradley University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1278","brandeis","Brandeis","Brandeis University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1279","brevard","Brevard","Brevard College","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1280","bridgeport","Bridgeport","University of Bridgeport","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1281","bridgewater-st","Bridgewater St.","Bridgewater State University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1282","bridgewater-va","Bridgewater (VA)","Bridgewater College","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1283","brooklyn","Brooklyn","Brooklyn College","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1284","brown","Brown","Brown University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1285","bryant","Bryant","Bryant University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1286","bryn-athyn","Bryn Athyn","Bryn Athyn College","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1287","bryn-mawr","Bryn Mawr","Bryn Mawr College","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1288","bucknell","Bucknell","Bucknell University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1289","buena-vista","Buena Vista","Buena Vista University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1290","buffalo","Buffalo","University at Buffalo","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1291","buffalo-st","Buffalo St.","Buffalo State College","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1292","butler","Butler","Butler University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1293","byu","BYU","Brigham Young University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1294","byu-hawaii","BYU-Hawaii","BYU-Hawaii","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1295","cabrini","Cabrini","Cabrini University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1296","cairn","Cairn","Cairn University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1297","cal-lutheran","Cal Lutheran","California Lutheran University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1298","cal-poly","Cal Poly","Cal Poly","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1299","cal-poly-pomona","Cal Poly Pomona","Cal Poly Pomona","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1300","cal-st-dom-hills","Cal St. Dom. Hills","Cal State-Dominguez Hills","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1301","cal-st-east-bay","Cal St. East Bay","Cal State-East Bay","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1302","cal-st-fullerton","Cal St. Fullerton","Cal State-Fullerton","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1303","cal-st-la","Cal State LA","Cal State-Los Angeles","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1304","cal-st-monterey-bay","Cal St. Monterey Bay","Cal State-Monterey Bay","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1305","cal-st-northridge","Cal St. Northridge","Cal State-Northridge","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1306","cal-st-san-bdino","Cal St. San B'dino","Cal State-San Bernardino","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1307","cal-st-san-marcos","Cal State-San Marcos","Cal State-San Marcos","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1308","cal-st-stanislaus","Cal St. Stanislaus","Cal State-Stanislaus","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1309","caldwell","Caldwell","Caldwell University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1310","california","California","University of California","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1311","california-baptist","Cal Baptist","California Baptist University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1312","california-pa","California (PA)","California University of Pennsylvania","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1313","caltech","Caltech","California Institute of Technology","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1314","calvin","Calvin","Calvin College","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1315","cameron","Cameron","Cameron University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1316","campbell","Campbell","Campbell University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1317","canisius","Canisius","Canisius College","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1318","capital","Capital","Capital University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1319","carleton","Carleton","Carleton College","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1320","carnegie-mellon","Carnegie Mellon","Carnegie Mellon University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1321","carroll-wi","Carroll (WI)","Carroll University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1322","carson-newman","Carson-Newman","Carson-Newman College","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1323","carthage","Carthage","Carthage College","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1324","case","Case Western Reserve","Case Western Reserve University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1325","castleton","Castleton","Castleton University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1326","catawba","Catawba","Catawba College","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1327","catholic","Catholic","Catholic University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1328","cazenovia","Cazenovia","Cazenovia College","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1329","ccny","CCNY","City College of New York","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1330","cedar-crest","Cedar Crest","Cedar Crest College","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1331","cedarville","Cedarville","Cedarville University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1332","centenary-la","Centenary (LA)","Centenary College of Louisiana","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1333","centenary-nj","Centenary (NJ)","Centenary University (N.J.)","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1334","central-ark","Central Ark.","University of Central Arkansas","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1335","central-conn-st","Central Conn. St.","Central Connecticut State University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1336","central-ia","Central (IA)","Central College (Iowa)","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1337","central-mich","Central Mich.","Central Michigan University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1338","central-mo","Central Mo.","University of Central Missouri","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1339","central-okla","Central Okla.","University of Central Oklahoma","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1340","central-st-oh","Central St. (OH)","Central State University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1341","central-wash","Central Wash.","Central Washington University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1342","centre","Centre","Centre College","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1343","chadron-st","Chadron St.","Chadron State College","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1344","chaminade","Chaminade","Chaminade University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1345","chapman","Chapman","Chapman University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1346","charleston-so","Charleston So.","Charleston Southern University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1347","charleston-wv","Charleston (WV)","University of Charleston","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1348","charlotte","Charlotte","UNC Charlotte","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1349","chatham","Chatham","Chatham University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1350","chattanooga","Tenn-Chattanooga","University of Tennessee at Chattanooga","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1351","chestnut-hill","Chestnut Hill","Chestnut Hill College","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1352","cheyney","Cheyney","Cheyney University of Pennsylvania","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1353","chicago","Chicago","University of Chicago","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1354","chicago-st","Chicago St.","Chicago State University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1355","chico-st","Chico State","California State University, Chico","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1356","chowan","Chowan","Chowan University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1357","chris-newport","Chris. Newport","Christopher Newport University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1358","christian-bros","Christian Bros.","Christian Brothers University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1359","cincinnati","Cincinnati","University of Cincinnati","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1360","citadel","Citadel","The Citadel","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1361","city-tech","New-York-City-Tech","NYC College of Technology","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1362","claflin","Claflin","Claflin University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1363","claremont-m-s","Claremont-M-S","Claremont-Mudd-Scripps Colleges","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1364","clarion","Clarion","Clarion University of Pennsylvania","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1365","clark-atlanta","Clark Atlanta","Clark Atlanta University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1366","clark-ma","Clark (MA)","Clark University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1367","clarke","Clarke","Clarke University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1368","clarkson","Clarkson","Clarkson University","2025-12-11 13:41:18","2025-12-11 13:41:18"
